label	number	printed_page	physical_page	pdf_sha256	page_png	page_image_sha256	machine_warnings	review_status	review_mode	print_label_line_weight	caption_separation	grayscale_accessibility	semantic_value	theorem_evidence_scope	higher_res_crop	notes
fig:causal-lightcone-local-operation	5.2	117	197	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0197.png	da29bc9d05b3127ff7744c757c9b470cce872b87844af4d08a83fca9ae2827da	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:anharmonic-second-order-vacuum-topologies	8.1	157	237	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0237.png	2992f448817ae0a661d753f5c26f38d1bcef383d58d812902dec4686f1a03066		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:anharmonic-normalized-two-point-connected-diagrams	8.2	160	240	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0240.png	f353b5345e744d3ade04759387c9c223ee00ef18f95ad2f838f3a252a7952aff		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-i-derivative-interaction-contractions	8.3	164	244	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0244.png	5ec0ca11a473f39fc96ac811df646aaa97ff7b2ff02896172318a318a266bfa7		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:scalar-mass-shell-branches	9.1	169	249	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0249.png	1853225022ddc397868360bbdaed3f8bacb48bf28e2501b794d97964ef6d1471		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:current-conservation-boundary-flux	10.1	181	261	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0261.png	dbe2bbdf459ce9614c3e42584732c9eacd9444794c17ea9e935a01374e221a5a		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:complex-time-contour-ordering	11.1	195	275	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0275.png	4b319d319804e8cfe70b24cc9b77613551740ca31d4a465e1d28081a6447f876		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:uniform-wick-rotation-insertion-times	11.2	198	278	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0278.png	bf5acc3f4e70741e89333e4a8aeb668d71ad1280300fda5f0c297b2857eaf530		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:feynman-prescription-from-wick-rotation	11.3	204	284	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0284.png	edf499d6ffd809d57369e99e6a1032fb830d181a840ed81bc43bd4fddee8323f		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:os-reflection-positivity	12.1	210	290	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0290.png	30571a77ef8ebf5dc93f698f5e6c8e991fb55b3b618e742fdd6ce9594530952d		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:kallen-lehmann-feynman-contour-closures	14.1	254	334	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0334.png	73bd8192f6b8e6bbc547d7c26c3d3febd6721f132e581f13a2f2764eb417c4ca		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:standard-boost-positive-mass-shell	14.2	261	341	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0341.png	a63b430ca2ed68270d70c0262395c947dd7d99ca930d42657e26ce030e0446df		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:kallen-lehmann-pole-and-continuum	14.3	264	344	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0344.png	50106515f38fe05fc2849168d1d82877b09271836a9ca57dfdb6859d266817e8		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:normalized-correlator-component-selection	15.1	271	351	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0351.png	7d3315ac79aa09d823b0fade5c214cc1dc994504959ac8be3659575c1acbc81a		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:euclidean-phi-four-feynman-rules	15.2	272	352	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0352.png	46e2862997fd5dff36e361496afeccbe46b79e2c590ffb33ffbb7f0c1b83319a		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:four-point-wick-connected-decomposition	15.3	278	358	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0358.png	9138ff7d7e3b64ac9c5e094181127353931bcdf2573673d7527954af7cadd3ef		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:bcfw-factorization	21.1	366	446	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0446.png	788be523feac0c171778daec4207ecdac6d6830766daae4e3e9b7afe0128cbc2		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:haag-ruelle-spectral-transfer	22.1	371	451	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0451.png	a2b203f565ae0c67b5b29f56f6cfa79ecedb067e21ddbf48652fcafc7cc5cbc6	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:exchange-model-stu-tree-routings	25.1	423	503	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0503.png	51fc30feadf40810e6c9b2095111f9cd11ab6581d6188466710109afa1d3aebd		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:resonance-k-plane-outgoing-growth	26.1	434	514	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0514.png	1e09610c219fa832d5d0ca444d05cda092f07ec6b1e7ddec0ba34463344fdc9f		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:resonance-second-sheet-energy-plane	26.2	435	515	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0515.png	692e9dd1f6c66686b0400f0dd531005e4f37994e2d1c2156e0b6380d8efaee66	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:self-energy-cut-continuation	26.3	438	518	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0518.png	d5312fc7a24d9abb93fe0c5b8bc712668bcb724a6537125a12643de496d0dd84		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:chain-amplitude-single-channel	27.1	452	532	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0532.png	06ef5425053c217c7be54c916585e2b8bab5b1b34dd9e81313d9d5f7614b3025		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:bethe-salpeter-kernel-homogeneous-equation	27.2	458	538	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0538.png	0d283dc98c589dd07cb2d42e5e1bcb2e82184562d34ef64b67a5e948379a0867		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:fixed-t-physical-edge-cuts	28.1	461	541	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0541.png	c8736edac8093206ff4b10ff9bc20f3bdcc6bd969fa74714cf0a449bd4acf9d7		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:triangle-landau-positive-parameter-data	28.2	491	571	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0571.png	46902df8eda4138b8e5cbe83e77dae87ebfcd7d94a7218007b277533b031b221		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:triangle-landau-convex-hull-criterion	28.3	491	571	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0571.png	46902df8eda4138b8e5cbe83e77dae87ebfcd7d94a7218007b277533b031b221		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:lehmann-ellipse-nearest-singularity	29.1	495	575	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0575.png	35610947076f6edf85009533b79e57cfc901caaf5ce25c05e479156d193aadaf		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:watson-elastic-form-factor-cut	29.2	500	580	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0580.png	645d3a93afe18e68a5280321aab73fb3ffc0dd8486897add1596f306331018fd		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:eikonal-impact-parameter-exponentiation	29.3	504	584	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0584.png	a94e2b1c409d6f64652000dc82eae2a8c2507729840a2bc7b347ca82477297a0		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:regge-pole-contour	29.4	508	588	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0588.png	c4b995be4bde26d97cd9ad898500341c65d3903981c630de6e711520f559b454		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:partial-wave-box-profile-lehmann-domain	29.5	516	596	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0596.png	00ab5127a354fb2f1c6a0d99e0ffe6360785e71e864759d01e592bbd9bd8d543		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:subtracted-fixed-t-cauchy-contour	29.6	527	607	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0607.png	0322cc36bd816617442e3c6e0681598b4128a10d8c264cdc9e017c6c54123f28	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-source-legendre	30.1	541	621	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0621.png	770b1adb55860a3b8154c79f00741373bfc7150977658b45e1b3d4a6a893b83b		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:background-field-shifted-cubic-vertices	30.2	544	624	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0624.png	31d3a935eb0493c0d165181a53d9e312beef2832ef8dc2cd25bc4dea9f366517		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-tadpoles-and-1pi	30.3	544	624	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0624.png	31d3a935eb0493c0d165181a53d9e312beef2832ef8dc2cd25bc4dea9f366517		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-connected-from-1pi	30.4	550	630	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0630.png	e44ca6548b4d228d22652d55aae3a6a298865070974afab3fc450a1ced848fab		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-branch-perturbation-condition	30.5	558	638	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0638.png	516b530526c56a147e852bbd30b007d6d7fbf08365bfb76c7b0f6178d69d8346	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-euclidean-convexity	30.6	559	639	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0639.png	b99c3137aa5c1395ad7abb08cccf7ef15ea5463f68ee9805beb2b279a5dc8446	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-counterterm-census	31.1	567	647	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0647.png	0301ef2a20802086055f806d35e61995eb791513e9eb5bddd565f695f3946001		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-six-dimensional-phi-three-one-loop	31.2	571	651	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0651.png	d2a67f418e3e3835b3401447b9d4a0af4dc35b3a5c9e2d2fd6c5e2fffe7203b3		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-self-energy-insertion-locality	31.3	572	652	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0652.png	73c629f505211407a20448830c4e69c3b0ce19dbc1c8e763dd28cc0fdf6f4aa7		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-schwinger-subdivergences	31.4	574	654	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0654.png	4dbc8d3603f4cf988f2d01a85cde9c6e7cf95a814da99e3abb5edc9362b5be64		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-taylor-subgraph-local-vertex	32.1	578	658	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0658.png	0a138c288cc04ef96ec7b7f66f78959638b510e8eef9d687d75da0dcf18e6401	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-compatible-forests	32.2	578	658	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0658.png	0a138c288cc04ef96ec7b7f66f78959638b510e8eef9d687d75da0dcf18e6401	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-diamond-forest-formula	32.3	582	662	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0662.png	38e2415f399fb441a0a5b0293f02324f7fed378f353d00dff6deea682c037977	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-rg-subgraph-reuse	33.1	589	669	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0669.png	d58787ccdf81e740a7a43866be036c46608f88f2dace975838eed169b132ab6d		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-one-pi-rg-coordinate	33.2	590	670	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0670.png	3bd612c45f67e0483ceec69a9b6c368b35af01529dd08dfae92cd06c5ab6b5ae		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-phi-four-one-loop-rg	33.3	592	672	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0672.png	f10ab7477e7606bda7e89afad80a765e514e59df7c7035a2256ddb16eb7b31cc		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-phi-four-landau-scale	33.4	594	674	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0674.png	b43a1eb38182cfbf4025d42d62ecc4c2578a5054e09b2de043c3886f8b473ac4		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-double-log-consistency	33.5	602	682	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0682.png	06b15a43524f475dade52a6149aa8765471f13318792fe2d49a0d74a85e965e8		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-scheme-change	33.6	621	701	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0701.png	2b00711769026b97dcf341337f45a55e4d9cf8ca032de8e87444e81ebd12f5ca	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-operator-mixing-field	34.1	626	706	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0706.png	bb68d6947b39167670913ab0232f70ccc7bc839db4776c68ee731bf02a033701		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:source-extended-wilsonian-operator-bridge	34.2	628	708	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0708.png	6368852bd0120a5c7d38bb34dc82a7a4fb654fa9b1771c63efa46fd29d7f5501		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:mass-insertion-source-wilsonian-matching	34.3	630	710	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0710.png	c6f1255ea8e4f0de53d7b0fe97f6015720840984a348514cdd3f6ef33f5e24aa		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:multi-insertion-contact-source-jets	34.4	635	715	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0715.png	d91f6eda9c32b16598ef79a25a597142e73f4c95e82c1c96d24708aa7dc4e469		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-ms-coordinate-structure	34.5	638	718	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0718.png	09884cee6450ee15fe66b8de3ee454fa6fe1353b12e1d2a06c8e86e813ce174e	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-phi-four-ms-pole	34.6	639	719	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0719.png	b1863ec237b2f7175e9fd8b857674354013f6a9a0089b25df3c15cfbbd7e5653		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-ms-recursion	34.7	643	723	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0723.png	23d061388047c92ab2cf56c9ca65c5b76e21664224b7d32f9d04776a32e277dd		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-local-translation-stress-tensor	35.1	645	725	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0725.png	c13aa75a11df096f57f665dea18250a6f974be712700876d2daf1fb3e721c76d		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-scale-trace-engineering	35.2	648	728	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0728.png	386e56ef4e9dc0ece226f901a390cf1793fc52cd4100c62fb9d0779a54544a81		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-renormalized-trace-identity	35.3	652	732	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0732.png	a4cd7f25e06e19fd542c17c0736bdc999ba6edad433bbdd46e8b268c318a67af		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-conformal-killing-currents	35.4	653	733	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0733.png	4dd00b2d7c3117acc3b33e5472952986d640768149edc06472bfe6cbc9434cb5		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-virial-improvement	35.5	658	738	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0738.png	fb107fb2015abea194a33d54b383299da3a20440c93c27db9287b22d064aaf24	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:wilsonian-smooth-cutoff	36.1	660	740	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0740.png	14b1425416471829d7bbe13bfb1a8e02c6830df5bd41843a66ae79d79662e22b		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:propagator-split-shell-integration	36.2	663	743	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0743.png	70145b41535e7d22c0fcf0984440d61600f4ca865463dc67835e0d8769589b11		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:wilson-polchinski-diagrams	36.3	665	745	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0745.png	d876148762fde36c1e5ff971f6f6d29966401572794a058ee958258857a69298		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:wilsonian-vs-effective-average-action	36.4	668	748	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0748.png	994c8bb20cd4f32653b4d1492c5f4531978a2819fd72d7b4fa48f5beeac8544d		pending	pending	pending	pending	pending	pending	pending	pending	pending review
