candidate_id	source_path	line_anchor	source_kind	trigger	disposition	ledger_key	reason
semantic:rem:qcd-drell-yan-tested-factorization-proof-obligation-map:factorization-theorem	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L12211	semantic-prose-window	factorization theorem	included	rem:qcd-drell-yan-tested-factorization-proof-obligation-map	Proof-obligation map is already an included Drell-Yan occurrence.
semantic:lem:qcd-gpd-polynomiality:factorization-theorem	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L12542	semantic-prose-window	factorization theorem	grouped	eq:qcd-gpd-definition	GPD polynomiality is local light-ray algebra grouped under the GPD/exclusive source row.
title:monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex:L12549:pion-light-ray-data-and-factorization-scheme	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L12549	subsection-title	factorization	grouped	def:qcd-exclusive-pion-factorization-scheme	Subsection title groups exclusive pion light-ray data under the pion factorization scheme row.
semantic:def:qcd-exclusive-pion-factorization-scheme:factorization-statement	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L12602	semantic-prose-window	factorization statement	included	def:qcd-exclusive-pion-factorization-scheme	Exclusive pion scheme definition is already an included hard-process occurrence.
semantic:ca:qcd-brodsky-farrar-scaling-status:factorization-theorem	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L12971	semantic-prose-window	factorization theorem	grouped	def:qcd-exclusive-pion-factorization-scheme	Brodsky-Farrar scaling status is adjacent exclusive-process architecture grouped under the pion scheme row.
semantic:ca:qcd-dis-threshold-plus-distribution-window:factorization-theorem	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L13379	semantic-prose-window	factorization theorem	grouped	eq:qcd-dis-threshold-factorized-coordinate	DIS threshold plus-distribution window supplies source material for the threshold coordinate row rather than a separate factorization theorem.
semantic:def:qcd-small-x-dipole-setup:factorization-statement	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L13550	semantic-prose-window	factorization statement	grouped	eq:qcd-small-x-leading-dis-dipole-functional	Small-x dipole setup is source data for the leading DIS dipole channel row.
semantic:hyp:qcd-leading-log-small-x-setup:factorization-statement	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L13550	semantic-prose-window	factorization statement	grouped	eq:qcd-small-x-leading-dis-dipole-functional	Leading-log small-x setup is grouped under the leading DIS dipole channel row.
semantic:ca:qcd-small-x-leading-dis-dipole-channel:factorization-statement	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L14031	semantic-prose-window	factorization statement	included	ca:qcd-small-x-leading-dis-dipole-channel	Small-x leading DIS dipole controlled approximation is already an included ledger occurrence.
semantic:ca:qcd-small-x-measured-observable-map:factorization-statement	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L14031	semantic-prose-window	factorization statement	grouped	ca:qcd-small-x-leading-dis-dipole-channel	Measured-observable map is local architecture grouped with the leading DIS dipole channel.
title:monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex:L1434:planar-counting-and-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L1434	subsection-title	factorization	excluded	expectation-value factorization	Large-N planar counting is expectation-value factorization, not a hard-process row.
title:monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex:L10397:twist-parton-distributions-and-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L10397	section-title	factorization	grouped	eq:dis-factorization	Twist parton distributions section is source material for the DIS factorization row.
semantic:ca:scet-distributional-factorization-estimate:factorization-statement	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L1182	semantic-prose-window	factorization statement	included	ca:scet-distributional-factorization-estimate	SCET distributional estimate is already an included ledger occurrence.
semantic:hyp:leading-power-scet-factorization:factorization-statement	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L1182	semantic-prose-window	factorization statement	included	hyp:leading-power-scet-factorization	Leading-power SCET hypothesis is already an included ledger occurrence.
title:monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex:L1286:reference-map-for-factorization-claims	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L1286	paragraph-title	factorization	grouped	eq:qcd-common-factorization-budget	Reference-map title describes navigation around factorization claims and is grouped under the common budget architecture.
semantic:ca:massive-vector-sudakov-chart:factorization-coordinate	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L1753	semantic-prose-window	factorization coordinate	included	ca:massive-vector-sudakov-chart	Massive-vector electroweak Sudakov chart is an in-scope hard soft collinear coordinate now promoted to the ledger.
semantic:monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex:L1851:factorization-theorem	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L1855	semantic-prose-window	factorization theorem	grouped	hyp:leading-power-scet-factorization	Unlabeled perturbative jet-prediction block states generic proof obligations grouped under leading-power SCET architecture.
semantic:ca:soft-drop-mass-fixed-coupling-radiator:factorization-theorem	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L2191	semantic-prose-window	factorization theorem	grouped	def:soft-drop-mass-factorization-datum	Fixed-coupling radiator is local soft-drop algebra grouped under the soft-drop datum row.
title:monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex:L2286:renormalized-soft-drop-mass-factorization-structure	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L2286	paragraph-title	factorization	grouped	def:soft-drop-mass-factorization-datum	Soft-drop factorization-structure paragraph groups source material under the soft-drop datum row.
semantic:def:soft-drop-mass-factorization-datum:factorization-theorem	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L2315	semantic-prose-window	factorization theorem	included	def:soft-drop-mass-factorization-datum	Soft-drop mass datum is already an included ledger occurrence.
semantic:ca:sudakov-conditioned-zg:factorization-theorem	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L2512	semantic-prose-window	factorization theorem	grouped	def:soft-drop-mass-factorization-datum	Sudakov-conditioned groomed sharing is conditional substructure architecture grouped under the soft-drop datum.
semantic:ca:measured-eec-response-covariance-contract:factorized-approximation	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L3354	semantic-prose-window	factorized approximation	grouped	eq:qcd-measured-eec-factorization-budget	Measured EEC response/covariance contract is detector-level endpoint and response architecture grouped under the measured EEC prediction budget rather than a separate hard-process theorem.
semantic:def:leading-shape-function-operator-datum:factorized-approximation	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L3354	semantic-prose-window	factorized approximation	grouped	ca:leading-endpoint-shape-function-convolution	Leading shape-function operator datum is grouped under the endpoint shape-function convolution row.
semantic:def:paired-track-function-evolution:factorized-approximation	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L3649	semantic-prose-window	factorized approximation	grouped	eq:track-function-test-pairing	Paired track-function evolution is local track-function algebra grouped under the track row.
semantic:def:track-function-operator-datum:factorized-approximation	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L3649	semantic-prose-window	factorized approximation	grouped	eq:track-function-test-pairing	Track-function operator datum is grouped under the track-function row.
title:monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex:L338:factorization-and-resummation	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L338	section-title	factorization	grouped	hyp:leading-power-scet-factorization	Section title names the SCET factorization and resummation architecture, grouped under the leading-power SCET row.
semantic:def:scet-two-jet-operator-datum:factorized-approximation	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	L478	semantic-prose-window	factorized approximation	grouped	def:scet-two-jet-operator-datum	Two-jet operator datum is already represented in the event-shape factorization row.
title:monograph/tex/volumes/volume_ii/chapter24_bv_master_formalism_gauge_effective_actions.tex:L2062:local-quantum-observables-as-a-bv-factorization-algebra	monograph/tex/volumes/volume_ii/chapter24_bv_master_formalism_gauge_effective_actions.tex	L2062	section-title	factorization	excluded	BV prefactorization-algebra terminology	BV factorization-algebra language is locality and functoriality structure outside hard-process factorization.
title:monograph/tex/volumes/volume_iv/chapter04_superselection_sectors_and_locality_properties.tex:L1139:split-property-and-local-tensor-factorization	monograph/tex/volumes/volume_iv/chapter04_superselection_sectors_and_locality_properties.tex	L1139	section-title	factorization	excluded	Algebraic-QFT split-property tensor factorizations	Split-property tensor factorization is operator-algebraic independence, not hard-process soft collinear decomposition.
title:monograph/tex/volumes/volume_vi/chapter01_factorized_scattering_and_integrability.tex:L424:factorized-scattering-datum	monograph/tex/volumes/volume_vi/chapter01_factorized_scattering_and_integrability.tex	L424	section-title	factorization	excluded	integrable factorized scattering	Integrable two-dimensional factorized scattering remains outside the QCD SCET hard-process ledger.
title:monograph/tex/volumes/volume_xii/chapter10_perturbative_algebraic_qft_curved.tex:L386:causal-factorization	monograph/tex/volumes/volume_xii/chapter10_perturbative_algebraic_qft_curved.tex	L386	section-title	factorization	excluded	causal factorization in perturbative algebraic QFT	pAQFT causal factorization is locality algebra rather than hard-process factorization.
