candidate_id	source_path	disposition	ledger_key	reason
ca:qcd-drell-yan-integrated-theorem-boundary	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	ca:qcd-drell-yan-integrated-theorem-boundary	Integrated Drell-Yan theorem-boundary remark is included by semantic textual review.
eq:qcd-drell-yan-tmd-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	eq:qcd-drell-yan-tmd-factorization	Drell-Yan small-q_T TMD formula has its own row.
eq:qcd-eec-back-to-back-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	eq:qcd-eec-back-to-back-factorization	Back-to-back EEC recoil factorization row.
eq:qcd-large-n-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	excluded	expectation-value factorization	Large-N connected-correlator suppression is a homonym, not hard-process factorization.
eq:qcd-measured-eec-factorization-budget	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	eq:qcd-measured-eec-factorization-budget	Measured EEC budget has its own row.
eq:qcd-pion-form-factor-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	eq:qcd-pion-form-factor-factorization	Exclusive pion form-factor coordinate is included in the pion row.
eq:qcd-pion-transition-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	eq:qcd-pion-transition-factorization	Exclusive pion transition coordinate is included in the pion row.
eq:qcd-tmd-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	eq:qcd-tmd-factorization	Color-singlet TMD factorization row.
fig:qcd-dis-ope-light-ray-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	fig:qcd-dis-ope-light-ray-factorization	DIS figure is included and explicitly grouped with the common budget and DIS row.
hyp:qcd-dis-leading-twist-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	hyp:qcd-dis-leading-twist-factorization	DIS leading-twist hypothesis has its own row.
hyp:qcd-drell-yan-tmd-factorization-hypothesis	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	hyp:qcd-drell-yan-tmd-factorization-hypothesis	Drell-Yan TMD hypothesis has its own row.
hyp:qcd-tmd-factorization-hypothesis	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	hyp:qcd-tmd-factorization-hypothesis	Color-singlet TMD hypothesis has its own row.
rem:qcd-drell-yan-tested-factorization-proof-obligation-map	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	rem:qcd-drell-yan-tested-factorization-proof-obligation-map	Drell-Yan proof-obligation map is included in integrated Drell-Yan row.
ca:qcd-small-x-leading-dis-dipole-channel	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	ca:qcd-small-x-leading-dis-dipole-channel	Small-x leading DIS dipole controlled approximation is included by semantic textual review.
sec:qcd-twist-parton-distributions-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	grouped	eq:dis-factorization	Section label groups the twist/PDF setup used by the DIS factorization row.
subsec:qcd-dis-factorization-dglap	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	grouped	eq:dis-factorization	Subsection label groups DIS factorization and DGLAP source material.
subsec:qcd-large-n-planar-counting-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	excluded	expectation-value factorization	Large-N planar counting subsection is expectation-value factorization.
subsec:qcd-pion-light-ray-factorization-scheme	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	grouped	def:qcd-exclusive-pion-factorization-scheme	Subsection label groups exclusive pion light-ray data under the pion scheme row.
ca:scet-distributional-factorization-estimate	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	included	ca:scet-distributional-factorization-estimate	SCET distributional estimate row.
ca:scet-spectator-tmd-color-entanglement	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	included	ca:scet-spectator-tmd-color-entanglement	Spectator TMD color-entanglement row.
ca:soft-drop-mass-factorized-resummation	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	included	ca:soft-drop-mass-factorized-resummation	Soft-drop resummation controlled approximation has its own row.
def:soft-drop-mass-factorization-datum	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	included	def:soft-drop-mass-factorization-datum	Soft-drop datum row.
eq:jet-event-shape-factorization	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	included	eq:jet-event-shape-factorization	Jet event-shape factorization row.
eq:scet-distributional-factorization-bound	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	included	eq:scet-distributional-factorization-bound	Distributional bound row.
eq:scet-factorized-smeared-functional	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	included	eq:scet-factorized-smeared-functional	Generic smeared SCET factorized coordinate has its own row.
eq:scet-finite-multiplicative-scheme-change	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	grouped	ca:scet-distributional-factorization-estimate	Finite scheme-change identity is local algebra inside the SCET distributional estimate.
eq:scet-finite-scheme-gamma-shift	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	grouped	ca:scet-distributional-factorization-estimate	Anomalous-dimension scheme shift is grouped with the SCET estimate row.
eq:scet-finite-scheme-product-condition	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	grouped	ca:scet-distributional-factorization-estimate	Product-one scheme condition is grouped with the SCET estimate row.
eq:scet-generalized-tmd-ansatz	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	included	eq:scet-generalized-tmd-ansatz	Generalized TMD ansatz row.
eq:scet-physical-smeared-functional	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	grouped	eq:scet-factorized-smeared-functional	Physical functional is paired with the factorized coordinate in the smeared-SCET row.
eq:scet-spectator-color-entanglement-factor	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	grouped	ca:scet-spectator-tmd-color-entanglement	Color trace is mechanism algebra inside the spectator obstruction row.
eq:scet-spectator-entangled-breaking-integral	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	included	eq:scet-spectator-entangled-breaking-integral	Integrated breaking contribution is included in the spectator row.
eq:scet-spectator-same-cut-eikonal-sum	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	grouped	ca:scet-spectator-tmd-color-entanglement	Eikonal sign accounting is mechanism algebra inside the spectator row.
eq:scet-spectator-single-gluon-trace-zero	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	grouped	ca:scet-spectator-tmd-color-entanglement	One-gluon trace negative control is mechanism algebra inside the spectator row.
eq:soft-drop-factorization-rg-consistency	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	included	eq:soft-drop-factorization-rg-consistency	RG consistency is included in the soft-drop resummation row.
eq:soft-drop-mass-factorization-datum	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	included	eq:soft-drop-mass-factorization-datum	Soft-drop singular coordinate row.
hyp:leading-power-scet-factorization	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	included	hyp:leading-power-scet-factorization	Leading-power SCET architecture row.
ca:massive-vector-sudakov-chart	monograph/tex/volumes/volume_ii/chapter19b_jets_ir_safe_observables_and_hadronization.tex	included	ca:massive-vector-sudakov-chart	Massive-vector electroweak Sudakov coordinate is included by semantic textual review.
ca:instanton-wilsonian-size-factorization	monograph/tex/volumes/volume_ii/chapter20_chiral_axial_anomalies.tex	excluded	instanton determinant or coefficient-decomposition factorizations	Instanton size separation is instanton-measure architecture, not QCD/SCET hard-process factorization.
eq:instanton-fermion-schur-factorization	monograph/tex/volumes/volume_ii/chapter20_chiral_axial_anomalies.tex	excluded	instanton determinant or coefficient-decomposition factorizations	Schur determinant factorization is instanton zero-mode algebra.
eq:instanton-size-factorization-boundary-flow	monograph/tex/volumes/volume_ii/chapter20_chiral_axial_anomalies.tex	excluded	instanton determinant or coefficient-decomposition factorizations	Instanton size boundary flow is outside this ledger.
eq:short-instanton-coefficient-factorization-flow	monograph/tex/volumes/volume_ii/chapter20_chiral_axial_anomalies.tex	excluded	instanton determinant or coefficient-decomposition factorizations	Short-instanton coefficient flow is outside process-level factorization ledger.
prop:instanton-fermion-determinant-zero-mode-factorization	monograph/tex/volumes/volume_ii/chapter20_chiral_axial_anomalies.tex	excluded	instanton determinant or coefficient-decomposition factorizations	Instanton fermion determinant factorization is zero-mode algebra.
eq:qed-bloch-nordsieck-inclusive-factorization	monograph/tex/volumes/volume_ii/chapter22_infrared_divergences_and_inclusive_qed.tex	included	eq:qed-bloch-nordsieck-inclusive-factorization	Abelian inclusive Bloch-Nordsieck factorization has its own row.
fig:volume-ii-soft-factorization	monograph/tex/volumes/volume_ii/chapter22_infrared_divergences_and_inclusive_qed.tex	included	fig:volume-ii-soft-factorization	Soft-photon external-line factorization figure is included in amplitude-level QED row.
def:bv-prefactorization-algebra	monograph/tex/volumes/volume_ii/chapter24_bv_master_formalism_gauge_effective_actions.tex	excluded	BV prefactorization-algebra terminology	BV prefactorization algebra is a locality/functoriality structure.
sec:bv-factorization-algebra-boundary	monograph/tex/volumes/volume_ii/chapter24_bv_master_formalism_gauge_effective_actions.tex	excluded	BV prefactorization-algebra terminology	BV factorization-algebra boundary is excluded from hard-process ledger.
eq:radial-ball-boundary-factorization	monograph/tex/volumes/volume_iii/chapter04_radial_quantization_and_state_operator_correspondence.tex	excluded	conformal and categorical algebraic decompositions	Radial quantization boundary factorization is conformal geometry algebra.
eq:jacobian-scale-rotation-factorization	monograph/tex/volumes/volume_iii/chapter06_primary_operators_and_finite_transformations.tex	excluded	conformal and categorical algebraic decompositions	Jacobian scale-rotation factorization is conformal transformation algebra.
eq:paqft-causal-factorization	monograph/tex/volumes/volume_iv/chapter03_algebraic_qft_local_nets_and_states.tex	excluded	causal factorization in perturbative algebraic QFT	pAQFT causal factorization is locality algebra.
eq:paqft-causal-factorization-three-term	monograph/tex/volumes/volume_iv/chapter03_algebraic_qft_local_nets_and_states.tex	excluded	causal factorization in perturbative algebraic QFT	Three-term causal-factorization identity is grouped in the pAQFT homonym exclusion.
eq:relative-s-causal-factorization-proof	monograph/tex/volumes/volume_iv/chapter03_algebraic_qft_local_nets_and_states.tex	excluded	causal factorization in perturbative algebraic QFT	Relative S-matrix proof identity belongs to pAQFT causal factorization.
eq:paqft-bogoliubov-factorization-relative	monograph/tex/volumes/volume_xii/chapter10_perturbative_algebraic_qft_curved.tex	excluded	causal factorization in perturbative algebraic QFT	Relative Bogoliubov factorization is pAQFT cutoff-transport locality algebra, not hard-process factorization.
eq:compact-susy-coset-factorization	monograph/tex/volumes/volume_v/chapter15_two_dimensional_superconformal_algebras.tex	excluded	supersymmetric coset or Chern--Simons vector identities	Compact coset identity is representation-theoretic factorization.
eq:noncompact-susy-coset-factorization	monograph/tex/volumes/volume_v/chapter15_two_dimensional_superconformal_algebras.tex	excluded	supersymmetric coset or Chern--Simons vector identities	Noncompact coset identity is representation-theoretic factorization.
ch:integrable-factorized-scattering	monograph/tex/volumes/volume_vi/chapter01_factorized_scattering_and_integrability.tex	excluded	integrable factorized scattering	Integrable 2D factorized scattering is outside QCD/SCET hard-process ledger.
def:elastic-factorized-scattering-system	monograph/tex/volumes/volume_vi/chapter01_factorized_scattering_and_integrability.tex	excluded	integrable factorized scattering	Elastic factorized scattering system is integrability data.
prop:higher-spin-factorization-kinematic	monograph/tex/volumes/volume_vi/chapter01_factorized_scattering_and_integrability.tex	excluded	integrable factorized scattering	Higher-spin kinematic factorization is integrability data.
def:factorized-scattering-bootstrap-data	monograph/tex/volumes/volume_vi/chapter02_two_dimensional_scattering_analyticity_bootstrap.tex	excluded	integrable factorized scattering	Factorized scattering bootstrap data is integrability data.
prop:form-factor-exchange	monograph/tex/volumes/volume_vi/chapter04_form_factor_bootstrap_local_operators.tex	excluded	integrable factorized scattering	Form-factor exchange from factorized scattering is integrability data.
def:massless-factorized-flow-data	monograph/tex/volumes/volume_vi/chapter06_integrable_rg_flows_perturbed_cft.tex	excluded	integrable factorized scattering	Massless factorized flow data is integrability data.
ex:sausage-foz-factorization	monograph/tex/volumes/volume_vi/chapter09_on_gross_neveu_sigma_model_families.tex	excluded	integrable factorized scattering	Sausage FOZ factorization is an integrable model example.
eq:higgs-branch-supercharge-factorized-operators	monograph/tex/volumes/volume_vii/chapter08_moduli_spaces_supersymmetric_qft.tex	excluded	supersymmetric determinant spectral factorization	Higgs heavy-complex operator factorization is a supersymmetric determinant pairing, not hard-process factorization.
eq:higgs-branch-supercharge-factorized-supertrace	monograph/tex/volumes/volume_vii/chapter08_moduli_spaces_supersymmetric_qft.tex	excluded	supersymmetric determinant spectral factorization	Higgs heavy-complex supertrace cancellation is outside the QCD/SCET process-factorization ledger.
eq:higgs-branch-supercharge-factorized-vertices	monograph/tex/volumes/volume_vii/chapter08_moduli_spaces_supersymmetric_qft.tex	excluded	supersymmetric determinant spectral factorization	Higgs heavy-complex vertex generation is supersymmetric trace-log algebra.
ex:higgs-branch-supercharge-factorization	monograph/tex/volumes/volume_vii/chapter08_moduli_spaces_supersymmetric_qft.tex	excluded	supersymmetric determinant spectral factorization	Higgs determinant factorization is a supersymmetric spectral-pairing example.
eq:cs-vector-factorization	monograph/tex/volumes/volume_vii/chapter10_three_dimensional_chern_simons_matter.tex	excluded	supersymmetric coset or Chern--Simons vector identities	Chern-Simons vector identity is outside process-level ledger.
eq:qsc-t-gauge-two-row-factorization	monograph/tex/volumes/volume_vii/chapter15_planar_n4_quantum_spectral_curve_hexagon.tex	excluded	quantum-spectral-curve gauge identities	QSC T-gauge identity is spectral-problem algebra.
eq:transparent-s-row-factorization	monograph/tex/volumes/volume_viii/chapter09_boundaries_defects_and_categories.tex	excluded	conformal and categorical algebraic decompositions	Transparent S-row factorization is categorical defect algebra.
eq:conditional-factorization	monograph/tex/volumes/volume_xi/chapter06_monte_carlo_and_sign_problems.tex	excluded	Monte Carlo conditional-probability factorizations	Conditional probability factorization is Monte Carlo probability algebra.
eq:finite-range-gaussian-factorization	monograph/tex/volumes/volume_xi/chapter07_rigorous_renormalization_group.tex	excluded	finite-range Gaussian decompositions	Finite-range Gaussian decomposition is constructive RG covariance algebra.
lem:finite-range-gaussian-factorization	monograph/tex/volumes/volume_xi/chapter07_rigorous_renormalization_group.tex	excluded	finite-range Gaussian decompositions	Lemma is finite-range Gaussian decomposition, not hard-process factorization.
